current (A),time (s),current_error (A)
3,0,0.03
2.714512254,5,0.027145123
2.456192259,10,0.024561923
2.222454662,15,0.022224547
2.010960138,20,0.020109601
1.819591979,25,0.01819592
1.646434908,30,0.016464349
1.489755911,35,0.014897559
1.347986892,40,0.013479869
1.219708979,45,0.01219709
1.103638324,50,0.011036383
0.998613251,55,0.009986133
0.903582636,60,0.009035826
0.817595379,65,0.008175954
0.739790892,70,0.007397909
0.66939048,75,0.006693905
0.605689554,80,0.006056896
0.548050572,85,0.005480506
0.495896665,90,0.004958967
0.448705858,95,0.004487059
0.40600585,100,0.004060058
0.367369285,105,0.003673693
0.332409475,110,0.003324095
0.300776531,115,0.003007765
0.27215386,120,0.002721539
0.246254996,125,0.00246255
0.222820735,130,0.002228207
0.201616538,135,0.002016165
0.182430188,140,0.001824302
0.16506966,145,0.001650697
0.149361205,150,0.001493612
0.135147607,155,0.001351476
0.122286612,160,0.001222866
0.110649502,165,0.001106495
0.10011981,170,0.001001198
0.09059215,175,0.000905922
0.081971167,180,0.000819712
0.074170579,185,0.000741706
0.067112316,190,0.000671123
0.060725734,195,0.000607257
0.054946917,200,0.000549469
