independant (s),exp_dependant (m),lin_dependant (m)
0,5,10
5,5.52585459,35
10,6.107013791,60
15,6.749294038,85
20,7.459123488,110
25,8.243606354,135
30,9.110594002,160
35,10.06876354,185
40,11.12770464,210
45,12.29801556,235
50,13.59140914,260
55,15.02083012,285
60,16.60058461,310
65,18.34648334,335
70,20.27599983,360
75,22.40844535,385
80,24.76516212,410
85,27.36973696,435
90,30.24823732,460
95,33.42947221,485
100,36.94528049,510
105,40.83084956,535
110,45.1250675,560
115,49.87091227,585
120,55.1158819,610
125,60.9124698,635
130,67.31869018,660
135,74.39865862,685
140,82.22323386,710
145,90.87072685,735
150,100.4276846,760
155,110.9897564,785
160,122.662651,810
165,135.5631946,835
170,149.8205002,860
175,165.5772598,885
180,182.9911722,910
185,202.2365218,935
190,223.5059225,960
195,247.0122455,985
200,272.9907502,1010
205,301.701438,1035
210,333.4316552,1060
215,368.4989685,1085
220,407.2543433,1110
225,450.0856565,1135
230,497.4215782,1160
235,549.7358623,1185
240,607.5520876,1210
